"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/06/29","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","NiQVPSf5LQHqmQIPMooYrZ26Jm8VaYS-wk810XQ2uhc"
"1","2025/06/29","ヤマナカ／フランテ","-3710","JCBカード","食費","食費_スーパー","","0","48_QD841ueIy5P9cruiWq3L-Ma4zN1hZ6PmRRX0P4Fk"
"1","2025/06/27","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　２Ｋ","-1600","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","aXikJzCik-51yrLwYN9Quko1iSFKLsT9g9M5nE-qDA8"
"1","2025/06/27","口座振替3 DF.レグリオヤチン","-38350","三菱UFJ銀行","住宅","住宅固定費","","0","dG258BHzNiFQORoU0pKlwq-Isn_M-PyBa6ZjsxjX8qs"
"1","2025/06/26","将棋ウォーズ","-600","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","US0ToAQcDchWRQplenO7l8_eAZhQ4enJzHZ8ysdcR9A"
"1","2025/06/26","口座振替3 カクテイキヨシユツカケキ","-23000","三菱UFJ銀行","住宅","住宅固定費","","0","bu13cViXRUon5CYextrXTg0ZC0W1IBYyiQBjyiRo838"
"1","2025/06/26","ヤマナカ／フランテ","-6193","JCBカード","食費","食費_スーパー","","0","qAwy-_7rcDcpeMTr7XXmVa_bIA9XW76B1UWW6AtftQQ"
"1","2025/06/24","NINTENDO CD1422567712 KYOTO","-306","JCBカード","趣味・娯楽","趣味等・継続課金","","0","Xv3r8oNhpQHOvikZqY6BZ0UbYK-_HoR6ahYXtZ3o13M"
"1","2025/06/23","Ａｍａｚｏｎプライム会費","-600","JCBカード","趣味・娯楽","趣味等・継続課金","","0","lcaKC5EVC7p9IwCbGQYFiepcmyRWpRM0RXYaQxPlx-4"
"1","2025/06/22","カ-ド","-10000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","eG6lbH_P0XoqrVYO1z9N804DmznJrYTwue1JQ6dPzDo"
"1","2025/06/22","コインランドリー精算機〔ＪＭＭＳ〕","-1000","JCBカード","住宅","住宅固定費","","0","xfDBX1rsYChVCH7SbX9kIorp0QZSOmJxO_FMh9tnJOo"
"1","2025/06/22","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　２Ｋ","-480","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","p2379cKlFlboDkvJ0qWMVVYk9nlPXer2p_jEA7xhiaU"
"1","2025/06/22","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　２Ｋ","-750","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","hLda8rvhijMIfQXRJ_1QkL84quRqDZBa2dHReNTcEUM"
"1","2025/06/21","三ツ矢サイダー アサヒ飲料 ZERO 500ml×24本 [サイダー] [ゼロカロリー] 販売: Amazon.co.jp","-2155","Amazon.co.jp","食費","食料品","","0","YFk8Ks2dwEVhwwvR_OjNUbdLZiC5w6lwoavYVZPAm3Y"
"1","2025/06/21","ひだまりこころクリニックサンシャインサカ","-1320","JCBカード","日用品","生活変動費_食品除","","0","yoS4c5Xs63n3R8B35WnA3SYOlU6WvbGV3IerZ9nnCpI"
"1","2025/06/21","ローソン　オオス１チヨウメ","-178","JCBカード","食費","食費_スーパー以外","","0","AbTs21BGG2hMDoS-NkkqdZ_8pMT1g7iM_c1xNr1HAQI"
"1","2025/06/21","立川マシマシ栄住吉店","-1300","JCBカード","食費","食費_スーパー以外","","0","tDqTHdfqbhSAwzrc1XQxRhvo7DEVJjC61e0LlULSgJs"
"1","2025/06/21","おひさま薬局サンシャインサカエ店","-2935","JCBカード","日用品","生活変動費_食品除","","0","7JmnnYUTklrlpUMGJQDCxw4OyYhnn29JgOfJl4E6sJk"
"0","2025/06/21","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-2155","JCBカード","日用品","生活変動費_食品除","","1","sWpkNgPyTNavLP-q4M6Xf9mYJr7wIJSEtLV1nmjYDgo"
"1","2025/06/20","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＧＯＯＧＬ","-2900","JCBカード","趣味・娯楽","趣味等・継続課金","","0","GrmiCzsvBTIQBDAVwhRr_P27lglq2F6oy8xUDnHlWc8"
"1","2025/06/19","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＹＯＵＴＵ","-1280","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","XCnHVuflu9E02AkJQd79q2g4roEYuJdcCzAGER5B4Bc"
"1","2025/06/18","ヤマナカ／フランテ","-4489","JCBカード","食費","食費_スーパー","","0","-knMQBCcT4xBZ4nCkkFGt9A0-bSlABgwArPxWFsyROc"
"1","2025/06/16","Ｄラボ","-989","JCBカード","趣味・娯楽","趣味等・継続課金","","0","XvnnJ8wYxIujt5r7ZetOyQzDjoRCMNrqncP5MZH88Ug"
"1","2025/06/15","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","sEk9O8KXIC6v3lHB5WfEhMk-Hu08UKHM0PsuntzJ1vI"
"1","2025/06/15","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","TGvJp55JescBSVNQsQGka_nc9aXH8TlJc8vm-aTrFaw"
"1","2025/06/15","ヤマナカ／フランテ","-5376","JCBカード","食費","食費_スーパー","","0","Iz3p41hypsrzyoXQfr8ayTyb36AsprwIKkbJ-_J21RE"
"1","2025/06/14","Ｄラボ","-879","JCBカード","趣味・娯楽","趣味等・継続課金","","0","34M3dxvVUkSjHNtAF43-LC8X8jW_I1_Lr4oOkUEyX0c"
"1","2025/06/14","Ｄラボ","-879","JCBカード","趣味・娯楽","趣味等・継続課金","","0","a3mIZYDUEGwBEK9BgkWWK-bnXLOka6VUfVLZTD7w0FY"
"1","2025/06/12","東邦ガス　０６月　２０６９７９６６１７","-7717","JCBカード","住宅","住宅固定費","","0","TblAxAQKRksa9SeJkXs8iL9nRAYFqqUcWJZ3WFHjjPo"
