"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/07/29","フアミリ－マ－トナゴヤサカエイツチヨウメ","-809","JCBカード","食費","食費_スーパー以外","","0","63f2Iq0kz_t2Q7qCF79P0WDfgLmA86ILtinHMFaBtU0"
"1","2025/07/28","口座振替3 DF.レグリオヤチン","-51001","三菱UFJ銀行","住宅","住宅固定費","","0","PNaZ_lg-H3jc6bAB5op9j7B9Uz7urFu_K62x9QhKbo4"
"1","2025/07/28","口座振替3 カクテイキヨシユツカケキ","-23000","三菱UFJ銀行","住宅","住宅固定費","","0","ihm1MWuYt9TODN7tbhg_-ZnQV9oNadoGRWSLneC_ybc"
"1","2025/07/27","オルクセン王国史~野蛮なオークの国は、如何にして平和なエルフの国を焼き払うに至ったか~(ノヴァコミックス)3[Kindle 版] 樽見京一郎, 野上武志, THORES柴本 販売: Amazon Services International LLC","-776","Amazon.co.jp","趣味・娯楽","趣味等・逐次課金","","0","pfD4lkUAZBPuO26q3L3kovGiOxYbC5oR1A3N-KLipxI"
"1","2025/07/27","オルクセン王国史~野蛮なオークの国は、如何にして平和なエルフの国を焼き払うに至ったか~(ノヴァコミックス)4[Kindle 版] 樽見京一郎, 野上武志, THORES柴本 販売: Amazon Services International LLC","-776","Amazon.co.jp","趣味・娯楽","趣味等・逐次課金","","0","Vzhuj_x58MmDKUUsZTBpyrOi3wsf6Idv0hj1XsJ_p1k"
"1","2025/07/27","マックスバリュ東海　株式会社","-6451","JCBカード","食費","食費_スーパー","","0","SapApuKhDpESszl-eeDe8B84fh1BFsuGgJDw6btwSa0"
"0","2025/07/27","AMAZON DOWNLOADS WWW.AMAZON.CO","-776","JCBカード","趣味・娯楽","趣味等・逐次課金","","1","aFYFv-9kYsyDkcojdmvZjfkMrYAex5AzmwfSz7x7IpY"
"0","2025/07/27","AMAZON DOWNLOADS WWW.AMAZON.CO","-776","JCBカード","趣味・娯楽","趣味等・逐次課金","","1","-OcIHEPqcwROVfwzGZQE7lI3jDkEKLhUXMLOjMP44qk"
"1","2025/07/27","コインランドリー精算機〔ＪＭＭＳ〕","-1000","JCBカード","住宅","住宅固定費","","0","HyCeRUkLkSHphBeUcZX6sA7ODgwnTIhtR4-JBBL2p6s"
"1","2025/07/26","高飛車皇女は黙ってない: 2【電子限定描き下ろしマンガ付き】 (ZERO-SUMコミックス)[Kindle 版] 月煮 ゆう, 柊と灯, くろでこ 販売: Amazon Services International LLC","-809","Amazon.co.jp","趣味・娯楽","趣味等・逐次課金","","0","ti19Qr99DhG-h8IIn9lnKSivYEE0tY_xFulhz2wYSw0"
