"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/08/28","ＪＳ／インドレストランシバ","-2350","JCBカード","食費","食費_スーパー以外","","0","D-heAdffjmu9cePoGasncdZVS6ubFjmgq_liSmCzdFQ"
"1","2025/08/27","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","z9tuOhXVxIJxbvSxerH9QOZJQLxCqfUhtuYAw4rv33w"
"1","2025/08/27","ローソン　オオス１チヨウメ","-784","JCBカード","食費","食費_スーパー以外","","0","3y7b6B0RbUtiqwJ3wFh4M6EV-vXjqka76wvyJu7z2lI"
"1","2025/08/27","口座振替3 DF.レグリオヤチン","-38350","三菱UFJ銀行","住宅","住宅固定費","","0","iCPojR_wnpxIWrYtt_Qb0BokXTo75MLK2eE_yBM-SJ0"
"1","2025/08/26","口座振替3 カクテイキヨシユツカケキ","-23000","三菱UFJ銀行","住宅","住宅固定費","","0","-CH162P-uWIvjQCvDAAG1t7YTxbJ667AQlz4Q0hFGgM"
"1","2025/08/24","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","T7oAX7WEOfEKrgmaR45Gc-WoOJDiaH0ObqmciniWZ1U"
"1","2025/08/24","ヤマナカ／フランテ","-5653","JCBカード","食費","食費_スーパー","","0","sqy4M3X33zFKH4VTVeos3N_2PnW3To0zG8TzDbqYf3o"
"1","2025/08/23","ストリックスデザイン 使い捨て容器 フードカップ 業務用 50個 300ml 10オンス 未晒し ブラウン 水や油に強い 内側ラミネート加工 使い捨てカップ カフェ アウトドア お菓子作り SD-102 販売: Amazon.co.jp","-597","Amazon.co.jp","日用品","生活変動費_食品除","","0","m0CbIGbtn4xd9ur-cT2S59WfYlDLjLt-MN9YVJMRT3Q"
"1","2025/08/23","アサヒ飲料 ぎゅっと濃い十六茶 630ml×24本 [お茶] [ノンカフェイン] [機能性表示食品] [糖の吸収/食後の血中中性脂肪の上昇を抑える] 販売: Amazon.co.jp","-2032","Amazon.co.jp","食費","食費_スーパー","","0","BLCAX406TZ0fusE1BYKtDDURqbrC5b4dLU-cdD0Wph8"
"1","2025/08/23","コカ・コーラ アクエリアス NEWATER 500mlPET ×24本 販売: Amazon.co.jp","-2145","Amazon.co.jp","食費","食費_スーパー","","0","6_C-VM7Pkmb1aZH-2hIk57jPKV45rC3DhZYcI0TP-yw"
