"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/03/30","伊藤園 おーいお茶 ピュアグリーン 600ml×24本 緑茶 ペットボトル 販売: アマゾンジャパン合同会社","-1763","Amazon.co.jp","食費","食費_スーパー","","0","NECZZ3Z0fk4wym7IF3LZurYoDRdWbeQX7SXJwzw0-HM"
"1","2025/03/30","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","S4aUIp0zUGNUERZa1AouemeyKpVtByx8tTJMwFInGws"
"0","2025/03/30","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-1763","JCBカード","日用品","生活変動費_食品除","","1","1S5whq5zyVxdFjHHBdsZvsFRu-rNxjT__mJmJ87_Tl8"
"1","2025/03/30","ファンティア　Ｆａｎｔｉａ","-2000","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","SBkB0sDWiy6bt7zt44cTliVake7YsHwH7ITADo9KR_o"
"1","2025/03/30","ヤマナカ／フランテ","-3769","JCBカード","食費","食費_スーパー","","0","nvxFjKtnXBf7haLnA1-Xu393o0fKmCFgfdVDlK8WnAE"
"1","2025/03/29","ひだまりこころクリニックサンシャインサカ","-2750","JCBカード","日用品","生活変動費_食品除","","0","0o9gc6A_woLHcpZWreh3fDXVBu8h3pNfo1ZaeagzjR0"
"1","2025/03/29","ＳＱ＊ａａｒｏｎ","-13900","JCBカード","日用品","生活変動費_食品除","","0","RUDnPi_DHcd9OHY1tzWh3y_jRtzA8go1GOFKkBd7Adw"
"1","2025/03/29","おひさま薬局サンシャインサカエ店","-3120","JCBカード","日用品","生活変動費_食品除","","0","vHumt1ewk5GciGjUOn0y03ikawusgxoPOWPbQf5sgu8"
"1","2025/03/29","ｉＨｅｒｂ　Ｊａｐａｎ　Ｇ．Ｋ．","-6248","JCBカード","食費","食費_スーパー","","0","ZWiZCP5VdI_UiUmH0G1ROFt8_wzFMpOuWuBrK9hFtws"
"1","2025/03/29","ダイソー","-220","JCBカード","日用品","生活変動費_食品除","","0","gqxmhDYsr5xbID_sBhbGhL0aDYBNoAtAX48cFRJW3HE"
"1","2025/03/29","名古屋三越　栄店","-831","JCBカード","食費","食費_スーパー以外","","0","wqz7aF2vtcdyVXhDCW4qkOwRyrTdG9273z5HhCAUIcE"
"1","2025/03/27","口座振替3 DF.マツイシヨウケン","-47000","三菱UFJ銀行","住宅","住宅固定費","","0","IDi1rwobfP7Hjlk79X--K3bfJSpcgXGogFjU21XuIq8"
"1","2025/03/27","口座振替3 DF.レグリオヤチン","-40957","三菱UFJ銀行","住宅","住宅固定費","","0","n6hXIobqirFjIyvTrh9Ombc2UpCAb0Hjx7FGlvW3Mrk"
"1","2025/03/27","ヤマナカ／フランテ","-3144","JCBカード","食費","食費_スーパー","","0","Tp7CQrmQ-viPjJQrcHNzVnYbIpV7VmqWwEWP8HSi9ss"
"1","2025/03/26","NINTENDO CD1377264645 KYOTO","-306","JCBカード","趣味・娯楽","趣味等・継続課金","","0","ET9lL1sw_9nkiQpZPbflaQe8qolItxgBSamv8ZbQ8Nw"
"1","2025/03/26","将棋ウォーズ","-600","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","Pvv9Itd1ulNw6jzP39B4kSpr4VpHLPwI_8arD3wokFM"
"1","2025/03/26","口座振替3 カクテイキヨシユツカケキ","-23000","三菱UFJ銀行","住宅","住宅固定費","","0","DkbSiIoFMUZt7ng7S9RjSKuwGx-Jg-7WcL1m_yGXRtM"
"1","2025/03/23","コインランドリー精算機〔ＪＭＭＳ〕","-1000","JCBカード","住宅","住宅固定費","","0","s9Tj5LVrRPPXl5SKhC2e0NajBSrsgMEYL6I34r-yRq4"
"1","2025/03/23","Ａｍａｚｏｎプライム会費","-600","JCBカード","趣味・娯楽","趣味等・継続課金","","0","aaRouoeX4aNGzKPN60iwEvtb54-OdupoSqAgB1_gqW4"
"1","2025/03/23","楽天ペイ　Ｌｈａｓｓｏ　Ｃｈｕｌｏ","-1350","JCBカード","食費","食費_スーパー以外","","0","GYmGjImj394dp-0nBdhNGZ6LMTfuQP2IFfpYvI43WGQ"
"1","2025/03/23","カ-ド","-10000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","3ReAWE0OfctVmF0uaOqYYZ2l6OaXXrU606VbkTzg5zM"
