"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/11/27","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","Z_Hh20N5Rv_85dtRuZu6FcJSCRjlTbhld-WsN4V_6ao"
"1","2025/11/27","ドンキユニー　ヒショクヒン","-1400","JCBカード","食費","食費_スーパー以外","","0","QoOW4CCCX-uJih_ovGXeaRYRsAGDKgdxNIKUQPildO8"
"1","2025/11/27","口座振替3 DF.レグリオヤチン","-41457","三菱UFJ銀行","住宅","住宅固定費","","0","R25ttmpRyFcGizhQjM-MY9nhKhwP8k2VrUtganFQmpU"
"1","2025/11/26","ローソン　オオス１チヨウメ","-734","JCBカード","食費","食費_スーパー以外","","0","tgdTgAKTqHxwN2BQJvjkPoZv6d4teLzxjtpQ1tGs3VU"
"1","2025/11/26","口座振替3 カクテイキヨシユツカケキ","-23000","三菱UFJ銀行","住宅","住宅固定費","","0","uzk1CFVe_zT2jPI48gxvSCQBvYkKCd-k1pCtuW8Pdyo"
"0","2025/11/26","振込1 マツイシヨウケン (カ","87493","三菱UFJ銀行","未分類","未分類","","1","UQSMehH9kyrb1u0FL3h2j1f6CILnPYIF3V_NyCjS08o"
"1","2025/11/24","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","Xi06kDaQ6ge-ZttZrt-XY-8a9uknmtRMKuWnCn9g2e0"
"1","2025/11/24","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-1614","JCBカード","日用品","生活変動費_食品除","","0","bIY1LA0XB_Q93IFFF_MvF9nsfC0an5HCM9kZUROkvdo"
"1","2025/11/23","Ａｍａｚｏｎプライム会費","-600","JCBカード","趣味・娯楽","趣味等・継続課金","","0","zRVpBOZM1xVW26xJ8vCkWv6POxe8t8LXWwNYl16ye_Q"
"1","2025/11/22","マックスバリュ東海　株式会社","-1434","JCBカード","食費","食費_スーパー","","0","H97BkLZ7CDJzRVhOwl-QwmyKQYUw0xZoBwQNsyehQyg"
"1","2025/11/22","Ｄラボ","-989","JCBカード","趣味・娯楽","趣味等・継続課金","","0","MVPIn4C6GjVkTgvw-dFEpspHU1AMkKOBEUzudQBfMdA"
"1","2025/11/22","カ-ド","-10000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","5JnQ0giSz4FFIBjLTfJXtgIVidKKVljCRP5_7-2oL-Y"
"1","2025/11/21","セブン－イレブン長久手井堀店","-149","JCBカード","食費","食料品","","0","OddnrKBfN9Am6m-yEq1gDP871-yM7i6Q6Syu1g_dwKY"
"1","2025/11/21","セブン－イレブン長久手井堀店","-198","JCBカード","食費","食料品","","0","rEXbISY1VjXDuxz8ACouPXnQ1-m4Cor2kcp1Aj1cOwI"
"1","2025/11/21","ヴィ・ド・フランス　本郷","-605","JCBカード","食費","食費_スーパー以外","","0","ILPFfDMrR_1AU9FHeqkYQ2U5Z3cExYPY82QsMG92m8M"
"1","2025/11/21","ＪＲ東日本モバイルＳｕｉｃａ","-1000","JCBカード","日用品","生活変動費_食品除","","0","3eqnYurzNHUn8cSIBxZMTek2bjMElEZwKpbHfB-jw5E"
"1","2025/11/20","肉のよいち　名古屋本店","-4297","JCBカード","食費","食費_スーパー以外","","0","Q--GF76CO_HiDVPa9VVfS81jldb3VKs0CStpSRT93ts"
"1","2025/11/20","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＧＯＯＧＬ","-2900","JCBカード","趣味・娯楽","趣味等・継続課金","","0","TbtffKoxAkM3rswcN9iJ6oVjyooGEsk5UNsiBTy5c_U"
"1","2025/11/19","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＹＯＵＴＵ","-1280","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","Tx86fvcXvCrGIkFkrOHou5dDFGDeYbcfWVs_NVyGwf4"
"1","2025/11/18","ドンキユニー　ヒショクヒン","-1480","JCBカード","食費","食費_スーパー以外","","0","RoLXglVk_yWgzH30JiJRiqO_ql53At4SBrxtKvJqvzY"
"1","2025/11/16","ユニクロ・ＧＵ・ＰＬＳＴオンライン","-6645","JCBカード","日用品","生活変動費_食品除","","0","VYyrz1kAZsMazypenPcBKCnGpBhSRMNq5BqqyYLDU_0"
"1","2025/11/16","グローバルゲート","-295","JCBカード","日用品","生活変動費_食品除","","0","UfJqe60P1D0fZrG9rgqz85LlWpgc3a57MN_OTEEch7U"
"1","2025/11/16","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","mdokX67p1akZYmc19_lkS0OkRl1j-VpBHjEZKW1v41U"
"1","2025/11/16","パンチョグロ－バルゲ－ト店","-1390","JCBカード","食費","食費_スーパー以外","","0","vCYKSDGIhg5Rsuw4wrhLmMIYoSDo_31ygYzi0zzd3pg"
"1","2025/11/16","Ｄラボ","-989","JCBカード","趣味・娯楽","趣味等・継続課金","","0","i3A-01LUwbwD3DoFNPWZnYmwOQ5-EXU4oOjzV_e5Ps0"
